Token	POS-Tag	OOV	Id	Index	__next__	Documento
paulista	ADJ	0	1	13	14	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
.	PUNCT	0	1	14	15	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
A	DET	0	1	15	16	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
forte	ADJ	0	1	16	17	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
chuva	NOUN	0	1	17	18	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
em	ADP	0	1	18	19	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
São	PROPN	0	1	19	20	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Paulo	PROPN	0	1	20	21	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
complicava	VERB	1	1	21	22	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
o	DET	0	1	22	23	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
trânsito	NOUN	0	1	23	24	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
na	ADP	0	1	24	25	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
manhã	NOUN	0	1	25	26	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
desta	ADP	0	1	26	27	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
segunda-feira	NOUN	1	1	27	28	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
,	PUNCT	0	1	28	29	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
16	NUM	0	1	29	30	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
,	PUNCT	0	1	30	31	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
e	CCONJ	0	1	31	32	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
fez	VERB	0	1	32	33	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
com	SCONJ	0	1	33	34	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
que	SCONJ	0	1	34	35	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
o	DET	0	1	35	36	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Centro	PROPN	0	1	36	37	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	37	38	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Gerenciamento	PROPN	1	1	38	39	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	39	40	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Emergência	PROPN	1	1	40	41	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
(	PUNCT	0	1	41	42	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
CGE	PROPN	1	1	42	43	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
)	PUNCT	0	1	43	44	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
da	ADP	0	1	44	45	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Prefeitura	NOUN	0	1	45	46	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
colocasse	VERB	1	1	46	47	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
