Sentença	Id	Index	Granularidade	Documento
2	3	-1	1	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
Usando telescópios do Observatório Europeu Sul (ESO), astrônomos descobriram um planeta com sete vezes a massa de Júpiter, o mais pesado dos que giram em torno do Sol, e outro, com o dobro desse peso.	4	0	0	Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .
Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados, mas não giram em torno de uma estrela - na verdade, giram em torno um do outro.	4	1	0	Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .
Ray Jayawardhana, da Universidade de Toronto, e Valentin Ivanov, do Observatório Europeu Austral, publicarão a descoberta na 'Science Express', site da revista 'Science'.	4	2	0	Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .
Durante os últimos cinco anos, os astrônomos identificaram algumas dúzias de objetos com massas inferiores, flutuando livres nas proximidades de regiões de formação estelar próximas, aos quais chamam de 'planemos', mas nunca até agora unidos.	4	3	0	Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .
3	4	-1	1	Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .
A seleção brasileira masculina de vôlei, que é treinada por Bernardinho, venceu a Finlândia por 3 sets a 0, parciais de 25/17, 25/22 e 25/21, nesta sexta-feira, em Tampere (FIN), e manteve sua invencibilidade na Liga Mundial-06.	5	0	0	A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .
Invicto na competição, o Brasil está tranqüilo na liderança do Grupo B.	5	1	0	A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .
O time está perto da classificação para a próxima fase.	5	2	0	A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .
Os dois times voltam a se enfrentar às 12h30 deste sábado, no mesmo ginásio, que normalmente é utilizado para competições de hóquei no gelo.	5	3	0	A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .
4	5	-1	1	A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .
O superintendente regional da Polícia Federal de Rondônia, delegado Joaquim Mesquita, informou nesta sexta-feira, dia 04, que 23 pessoas foram presas, até o momento, pela Operação Dominó, em Rondônia.	6	0	0	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
A quadrilha é acusada de praticar diversos crimes administrativos, como desvio de recursos públicos, corrupção, prevaricação, concussão, peculato, extorsão, lavagem de dinheiro e venda de sentenças judiciais.	6	1	0	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
Segundo divulgada pela PF, o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos, por meio do pagamento de serviços, compras e obras superfaturadas.	6	2	0	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema.	6	3	0	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
A PF divulgou que cerca de 300 policiais federais do Amazonas, Distrito Federal, Mato Grosso, Acre e de Rondônia fazem parte das investigações da 'Operação Dominó'.	6	4	0	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
5	6	-1	1	O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .
A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano, enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula, segundo informações de fontes militares.	7	0	0	A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .
Os combates se intensificaram hoje após a sangrenta batalha deste domingo, quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas, entre militares e civis.	7	1	0	A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .
O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas (ONU) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio.	7	2	0	A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .
A esse respeito, o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França, que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano.	7	3	0	A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .
6	7	-1	1	A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .
A cidade de São Paulo e alguns municípios do interior paulista foram atingidos na madrugada desta segunda-feira por novos atentados com bombas e tiros contra agências bancárias, bases policiais e prédios públicos.	8	0	0	"A cidade de São Paulo e alguns municípios do interior paulista foram atingidos na madrugada desta segunda-feira por novos atentados com bombas e tiros contra agências bancárias , bases policiais e prédios públicos . Pelo menos oito ataques foram confirmados . Os ataques desta madrugada , até agora , não deixaram mortos ou feridos . As ações são atribuídas à facção criminosa "" Primeiro Comando da Capital "" ( PCC ) , que já comandou outros ataques em duas ocasiões . Uma bomba de fabricação caseira explodiu em frente ao prédio do Ministério Público Estadual e lojas vizinhas também foram atingidas por estilhaços . Calcula-se em 15 o número de ônibus incendiados , sendo dez na região do ABC e quatro na capital . Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais . O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto ."
